,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,relatives,not_alone,Title,Age_imputed,Age_Class,Fare_Per_Person
0,0,3,male,2,1,0,0,0,M,1,0,1,-0.5484711686764845,0.08131551387188703,3
1,1,1,female,5,1,0,3,2,C,1,0,3,0.6332128881437041,-0.7827630823158106,35
2,1,3,female,3,0,0,1,0,M,0,1,2,-0.2530501544714373,0.4516349122380432,7
3,1,1,female,5,1,0,3,0,C,1,0,3,0.4116471274899187,-0.8753429319073497,26
4,0,3,male,5,0,0,1,0,M,0,1,1,0.4116471274899187,1.2848535585618945,8
5,0,3,male,4,0,0,1,1,M,0,1,1,-0.05180265134485492,0.703904895404508,8
6,0,1,male,6,0,0,3,0,E,0,1,1,1.8148969449638928,-0.2890038844942691,51
7,0,3,male,0,3,1,2,0,M,4,0,4,-2.0255762397017203,-1.7702814779588936,4
8,1,3,female,3,0,2,1,0,M,2,0,3,-0.17919490092017554,0.5442147618295822,3
9,1,2,female,1,1,0,2,2,M,1,0,3,-1.1393131970865789,-1.0913625809542742,15
10,1,3,female,0,1,1,2,0,G,2,0,2,-1.8778657325991965,-1.5851217787758156,5
11,1,1,female,6,0,0,2,0,C,0,1,2,2.1103179591689396,-0.16556408503888373,26
12,0,3,male,2,0,0,1,0,M,0,1,1,-0.696181675779008,-0.10384418531119104,8
13,0,3,male,5,1,5,3,0,M,6,0,1,0.7070681416949659,1.6551729569280507,4
14,0,3,female,1,0,0,0,0,M,0,1,2,-1.1393131970865789,-0.6593232828604253,7
15,1,2,female,6,0,0,2,0,M,0,1,3,1.8887521985151545,1.4391533078811263,16
16,0,3,male,0,4,1,2,1,M,5,0,4,-2.0255762397017203,-1.7702814779588936,4
17,1,2,male,4,0,0,1,0,M,0,1,1,0.24682381773527334,0.0670145614959581,13
18,0,3,female,4,1,0,2,0,M,1,0,3,0.11622611328487159,0.9145341601957383,9
19,1,3,female,4,0,0,0,2,M,0,1,3,0.301983266156227,1.1473865091683972,7
20,0,2,male,5,0,0,2,0,M,0,1,1,0.4116471274899187,0.20475531332727243,26
21,1,2,male,5,0,0,1,0,D,0,1,1,0.33779187393865695,0.14303541359957972,13
22,1,3,female,1,0,0,1,1,M,0,1,2,-1.0654579435353169,-0.5667434332688862,8
23,1,1,male,4,0,0,3,0,A,0,1,1,-0.10533964736891376,-1.0913625809542742,35
24,0,3,female,0,3,1,2,0,M,4,0,2,-1.5824447183941495,-1.2148023804096595,4
25,1,3,female,5,1,5,3,0,M,6,0,3,0.6332128881437041,1.5625931073365116,4
26,0,3,male,4,0,0,0,2,M,0,1,1,-0.05180265134485492,0.703904895404508,7
27,0,1,male,2,3,2,5,0,C,5,0,1,-0.7700369293302698,-1.3691021297288912,43
28,1,3,female,1,0,0,0,1,M,0,1,2,-0.9825045790393345,-0.46275881959723003,7
29,0,3,male,4,0,0,0,0,M,0,1,1,-0.05180265134485492,0.703904895404508,7
30,0,1,male,5,0,0,2,2,M,0,1,5,0.7809233952462277,-0.721043182588118,27
31,1,1,female,5,1,0,4,2,B,1,0,3,0.8104654966667323,-0.7086992026425795,73
32,1,3,female,1,0,0,0,1,M,0,1,2,-0.9825045790393345,-0.46275881959723003,7
33,0,2,male,6,0,0,1,0,M,0,1,1,2.701159987579034,2.1180722048857454,10
34,0,1,male,4,1,0,3,2,M,1,0,1,-0.10533964736891376,-1.0913625809542742,41
35,0,1,male,6,1,0,3,0,M,1,0,1,0.9286339023487512,-0.6593232828604253,26
36,1,3,male,4,0,0,0,2,M,0,1,1,-0.05180265134485492,0.703904895404508,7
37,0,3,male,2,0,0,1,0,M,0,1,1,-0.6223264222277463,-0.011264335719652002,8
